iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
157,0.2499,-0.07438937,0.8871824,-0.83606756,-0.071802765,-0.6626752,0.23994377,-0.07438937,0.39049396,0.5626257
158,0.2499,-0.07459049,0.8870844,-0.8361501,-0.07193263,-0.66275847,0.24001154,-0.07459049,0.39026427,0.56248856
159,0.2499,-0.07479077,0.8869869,-0.8362322,-0.07206143,-0.66284144,0.24007988,-0.07479077,0.39003888,0.56235474
160,0.2499,-0.07499022,0.8868899,-0.8363137,-0.07218919,-0.66292405,0.24014875,-0.07499022,0.3898177,0.5622242
161,0.2499,-0.07518886,0.88679326,-0.8363948,-0.07231593,-0.6630063,0.24021816,-0.07518886,0.3896007,0.5620969
162,0.2499,-0.07538671,0.8866971,-0.8364754,-0.072441675,-0.66308826,0.24028811,-0.07538671,0.38938773,0.56197274
163,0.2498,-0.07558378,0.8866014,-0.83655554,-0.072566435,-0.6631699,0.24035856,-0.07558378,0.38917875,0.5618517
164,0.2498,-0.075780086,0.88650614,-0.83663523,-0.07269023,-0.6632513,0.24042952,-0.075780086,0.3889737,0.56173366
165,0.2498,-0.07597564,0.8864113,-0.83671445,-0.07281309,-0.66333234,0.24050099,-0.07597564,0.38877252,0.5616186
166,0.2498,-0.07617047,0.8863169,-0.83679324,-0.07293503,-0.6634131,0.24057293,-0.07617047,0.3885751,0.5615065
167,0.2498,-0.07636457,0.8862229,-0.8368716,-0.07305606,-0.6634936,0.24064536,-0.07636457,0.3883814,0.5613973
168,0.2498,-0.076557964,0.8861293,-0.8369496,-0.0731762,-0.66357374,0.24071826,-0.076557964,0.38819134,0.5612909
169,0.2498,-0.07675067,0.88603616,-0.83702713,-0.073295474,-0.6636536,0.24079162,-0.07675067,0.38800487,0.5611873
170,0.2498,-0.0769427,0.88594335,-0.83710426,-0.07341389,-0.66373324,0.24086542,-0.0769427,0.3878219,0.5610864
171,0.2498,-0.07713406,0.88585097,-0.83718103,-0.07353148,-0.66381264,0.24093968,-0.07713406,0.38764238,0.5609882
172,0.2498,-0.07732477,0.88575894,-0.8372574,-0.073648244,-0.66389173,0.24101436,-0.07732477,0.38746625,0.5608926
173,0.2498,-0.07751484,0.88566726,-0.8373334,-0.07376421,-0.6639706,0.24108948,-0.07751484,0.38729346,0.56079954
174,0.2498,-0.07770429,0.88557595,-0.837409,-0.07387939,-0.6640492,0.24116501,-0.07770429,0.3871239,0.56070906
175,0.2498,-0.077893116,0.885485,-0.8374843,-0.0739938,-0.6641276,0.24124096,-0.077893116,0.3869576,0.560621
176,0.2498,-0.07808134,0.8853944,-0.8375592,-0.07410745,-0.66420573,0.24131732,-0.07808134,0.3867944,0.56053543
177,0.2498,-0.078268975,0.88530415,-0.8376338,-0.07422037,-0.66428363,0.24139407,-0.078268975,0.3866343,0.5604522
178,0.2498,-0.07845603,0.88521427,-0.837708,-0.07433256,-0.66436136,0.24147122,-0.07845603,0.38647723,0.5603714
179,0.2498,-0.07864251,0.88512474,-0.8377819,-0.07444403,-0.66443884,0.24154873,-0.07864251,0.38632315,0.56029284
180,0.2498,-0.07882844,0.8850355,-0.83785546,-0.074554816,-0.6645161,0.24162664,-0.07882844,0.386172,0.56021655
181,0.2498,-0.07901382,0.88494664,-0.8379287,-0.07466491,-0.66459316,0.2417049,-0.07901382,0.38602373,0.56014246
182,0.2498,-0.07919866,0.8848581,-0.83800167,-0.07477434,-0.66467005,0.24178353,-0.07919866,0.3858783,0.5600706
183,0.2498,-0.07938298,0.8847698,-0.8380743,-0.07488311,-0.6647467,0.2418625,-0.07938298,0.38573563,0.56000084
184,0.2498,-0.07956678,0.8846818,-0.8381467,-0.07499124,-0.6648232,0.24194184,-0.07956678,0.38559568,0.5599332
185,0.2498,-0.07975007,0.88459414,-0.83821875,-0.07509874,-0.66489947,0.24202152,-0.07975007,0.3854584,0.55986756
186,0.2498,-0.07993287,0.88450676,-0.8382905,-0.07520562,-0.6649756,0.24210152,-0.07993287,0.38532376,0.55980396
187,0.2498,-0.080115184,0.8844197,-0.838362,-0.07531189,-0.6650515,0.24218185,-0.080115184,0.38519168,0.55974233
188,0.2498,-0.08029702,0.8843329,-0.8384332,-0.07541757,-0.6651273,0.24226251,-0.08029702,0.38506213,0.55968267
189,0.2498,-0.08047839,0.8842464,-0.83850414,-0.07552267,-0.66520286,0.24234349,-0.08047839,0.38493508,0.5596249
190,0.2498,-0.0806593,0.8841602,-0.8385748,-0.0756272,-0.66527826,0.24242477,-0.0806593,0.38481048,0.55956906
191,0.2498,-0.08083976,0.8840743,-0.8386452,-0.07573117,-0.66535354,0.24250637,-0.08083976,0.38468826,0.55951506
192,0.2498,-0.08101978,0.8839886,-0.8387154,-0.075834595,-0.66542864,0.24258827,-0.08101978,0.3845684,0.55946285
193,0.2498,-0.08119936,0.8839032,-0.8387853,-0.07593748,-0.6655036,0.24267046,-0.08119936,0.38445085,0.5594124
194,0.2498,-0.08137853,0.8838181,-0.83885497,-0.07603984,-0.6655784,0.24275294,-0.08137853,0.38433558,0.5593637
195,0.2498,-0.081557274,0.8837332,-0.8389244,-0.07614169,-0.6656531,0.2428357,-0.081557274,0.38422254,0.5593167
196,0.2498,-0.08173561,0.8836486,-0.8389936,-0.076243035,-0.6657276,0.24291874,-0.08173561,0.3841117,0.5592714
197,0.2498,-0.081913546,0.8835642,-0.8390626,-0.07634389,-0.665802,0.24300206,-0.081913546,0.384003,0.5592277
198,0.2498,-0.08209109,0.88348,-0.8391313,-0.07644425,-0.66587627,0.24308565,-0.08209109,0.38389644,0.5591856
199,0.2498,-0.08226825,0.8833961,-0.83919984,-0.07654414,-0.6659504,0.2431695,-0.08226825,0.38379192,0.55914515
200,0.2498,-0.08244503,0.8833124,-0.83926815,-0.07664357,-0.6660244,0.24325362,-0.08244503,0.38368946,0.55910623
