iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
142,0.6578,-0.040099848,0.19250405,-0.99108124,-0.009341116,0.5829655,-0.7380729,-0.040099848,-0.5805792,-0.8095745
143,0.6574,-0.039978392,0.19140647,-0.99334645,-0.008330212,0.58239603,-0.74276406,-0.039978392,-0.5810187,-0.8123662
144,0.657,-0.03985494,0.19032054,-0.99562496,-0.007305678,0.5818388,-0.74745363,-0.03985494,-0.5814702,-0.8151784
145,0.6565,-0.039729524,0.18924618,-0.99791676,-0.006267554,0.5812937,-0.7521416,-0.039729524,-0.5819337,-0.818011
146,0.6561,-0.039602187,0.18818332,-1.0002217,-0.005215884,0.5807608,-0.756828,-0.039602187,-0.5824091,-0.8208638
147,0.6557,-0.039472967,0.1871319,-1.0025399,-0.0041507054,0.58023995,-0.76151294,-0.039472967,-0.58289635,-0.8237367
148,0.6552,-0.0393419,0.18609184,-1.0048711,-0.0030720662,0.57973117,-0.76619637,-0.0393419,-0.5833955,-0.82662964
149,0.6548,-0.03920903,0.1850631,-1.0072155,-0.0019800207,0.57923436,-0.7708784,-0.03920903,-0.58390635,-0.8295424
150,0.6543,-0.039074395,0.18404558,-1.0095729,-0.0008746139,0.5787495,-0.775559,-0.039074395,-0.5844289,-0.8324748
151,0.6539,-0.038938038,0.18303925,-1.0119432,0.00024409348,0.5782765,-0.7802383,-0.038938038,-0.58496314,-0.8354268
152,0.6535,-0.0388,0.18204403,-1.0143265,0.0013760438,0.57781535,-0.7849162,-0.0388,-0.58550894,-0.8383982
153,0.653,-0.038660333,0.18105985,-1.0167226,0.0025211787,0.577366,-0.78959286,-0.038660333,-0.5860663,-0.84138894
154,0.6526,-0.03851907,0.18008666,-1.0191314,0.003679432,0.5769284,-0.79426825,-0.03851907,-0.5866352,-0.8443988
155,0.6521,-0.03837626,0.17912439,-1.021553,0.0048507364,0.5765025,-0.7989424,-0.03837626,-0.58721554,-0.84742767
156,0.6516,-0.038231954,0.17817296,-1.0239874,0.006035022,0.57608825,-0.80361533,-0.038231954,-0.5878073,-0.85047543
157,0.6512,-0.03808619,0.17723233,-1.0264344,0.007232216,0.5756856,-0.80828714,-0.03808619,-0.58841044,-0.8535419
158,0.6507,-0.037939023,0.17630243,-1.028894,0.00844225,0.5752946,-0.8129578,-0.037939023,-0.5890249,-0.856627
159,0.6503,-0.037790492,0.17538321,-1.031366,0.009665038,0.5749151,-0.8176274,-0.037790492,-0.5896507,-0.8597305
160,0.6498,-0.037640654,0.1744746,-1.0338506,0.010900507,0.5745471,-0.82229584,-0.037640654,-0.59028774,-0.86285233
161,0.6494,-0.037489552,0.17357653,-1.0363475,0.012148568,0.57419056,-0.82696325,-0.037489552,-0.590936,-0.8659923
162,0.6489,-0.03733724,0.17268896,-1.0388569,0.013409134,0.5738454,-0.83162963,-0.03733724,-0.5915954,-0.86915034
163,0.6484,-0.03718377,0.17181182,-1.0413785,0.01468212,0.5735116,-0.836295,-0.03718377,-0.59226596,-0.87232625
164,0.648,-0.037029188,0.17094506,-1.0439124,0.015967432,0.57318914,-0.84095937,-0.037029188,-0.59294766,-0.8755199
165,0.6475,-0.036873545,0.17008862,-1.0464585,0.017264983,0.572878,-0.8456228,-0.036873545,-0.59364045,-0.8787311
166,0.647,-0.0367169,0.16924244,-1.0490167,0.01857467,0.57257813,-0.85028523,-0.0367169,-0.59434426,-0.88195974
167,0.6465,-0.036559306,0.16840647,-1.051587,0.019896394,0.57228947,-0.85494673,-0.036559306,-0.5950591,-0.8852057
168,0.6461,-0.036400814,0.16758065,-1.0541693,0.021230062,0.572012,-0.85960734,-0.036400814,-0.5957849,-0.8884688
169,0.6456,-0.03624148,0.16676491,-1.0567635,0.022575567,0.5717457,-0.86426705,-0.03624148,-0.5965217,-0.8917489
170,0.6451,-0.036081355,0.16595921,-1.0593697,0.0239328,0.57149047,-0.8689259,-0.036081355,-0.59726936,-0.8950459
171,0.6446,-0.035920497,0.16516349,-1.0619876,0.025301656,0.5712463,-0.8735839,-0.035920497,-0.59802794,-0.89835954
172,0.6442,-0.035758965,0.16437769,-1.0646174,0.02668203,0.5710132,-0.87824106,-0.035758965,-0.59879744,-0.90168977
173,0.6437,-0.035596818,0.16360177,-1.067259,0.0280738,0.57079107,-0.8828974,-0.035596818,-0.5995778,-0.90503645
174,0.6432,-0.03543411,0.16283567,-1.0699121,0.029476862,0.5705799,-0.88755286,-0.03543411,-0.600369,-0.90839934
175,0.6427,-0.035270896,0.16207933,-1.0725769,0.03089109,0.5703797,-0.89220756,-0.035270896,-0.60117096,-0.9117784
176,0.6422,-0.03510724,0.16133271,-1.0752532,0.032316368,0.57019037,-0.89686143,-0.03510724,-0.6019837,-0.91517335
177,0.6417,-0.0349432,0.16059574,-1.0779411,0.033752583,0.5700119,-0.90151453,-0.0349432,-0.6028073,-0.91858417
178,0.6412,-0.034778837,0.15986839,-1.0806403,0.035199605,0.5698443,-0.90616685,-0.034778837,-0.60364157,-0.9220106
179,0.6407,-0.03461421,0.1591506,-1.0833509,0.03665731,0.5696875,-0.9108184,-0.03461421,-0.6044866,-0.92545253
180,0.6402,-0.03444938,0.1584423,-1.0860727,0.03812557,0.56954145,-0.91546917,-0.03444938,-0.60534227,-0.92890984
181,0.6397,-0.03428441,0.15774347,-1.0888058,0.039604258,0.56940615,-0.92011917,-0.03428441,-0.6062087,-0.93238235
182,0.6392,-0.03411936,0.15705404,-1.09155,0.041093245,0.5692815,-0.9247684,-0.03411936,-0.60708576,-0.9358699
183,0.6387,-0.033954293,0.15637396,-1.0943053,0.0425924,0.56916755,-0.9294169,-0.033954293,-0.60797346,-0.9393723
184,0.6382,-0.03378927,0.1557032,-1.0970715,0.044101585,0.56906426,-0.9340646,-0.03378927,-0.6088718,-0.94288945
185,0.6377,-0.03362436,0.1550417,-1.0998487,0.04562067,0.5689716,-0.9387116,-0.03362436,-0.6097808,-0.94642115
186,0.6372,-0.033459622,0.15438938,-1.1026369,0.047149517,0.56888944,-0.94335777,-0.033459622,-0.61070037,-0.94996727
187,0.6367,-0.033295125,0.15374623,-1.1054358,0.04868799,0.56881785,-0.9480032,-0.033295125,-0.61163056,-0.9535276
188,0.6362,-0.033130933,0.15311219,-1.1082455,0.050235946,0.5687568,-0.9526478,-0.033130933,-0.6125713,-0.9571021
189,0.6357,-0.03296711,0.1524872,-1.1110659,0.05179324,0.5687063,-0.95729166,-0.03296711,-0.6135226,-0.9606905
190,0.6352,-0.03280372,0.15187123,-1.1138968,0.05335974,0.56866616,-0.96193475,-0.03280372,-0.6144844,-0.9642927
191,0.6346,-0.032640837,0.15126424,-1.1167383,0.054935295,0.5686365,-0.966577,-0.032640837,-0.6154568,-0.9679085
192,0.6341,-0.03247852,0.15066616,-1.1195902,0.056519765,0.5686172,-0.97121847,-0.03247852,-0.61643976,-0.97153777
193,0.6336,-0.032316834,0.15007696,-1.1224524,0.058112998,0.56860834,-0.9758591,-0.032316834,-0.6174332,-0.9751803
194,0.6331,-0.032155853,0.14949657,-1.125325,0.059714846,0.5686098,-0.9804989,-0.032155853,-0.6184372,-0.978836
195,0.6326,-0.031995643,0.14892498,-1.1282077,0.061325166,0.5686215,-0.9851379,-0.031995643,-0.61945164,-0.98250467
196,0.632,-0.03183627,0.14836212,-1.1311005,0.06294381,0.56864357,-0.989776,-0.03183627,-0.6204766,-0.9861861
197,0.6315,-0.03167781,0.14780794,-1.1340035,0.06457062,0.5686759,-0.99441326,-0.03167781,-0.621512,-0.9898802
198,0.631,-0.031520326,0.14726241,-1.1369164,0.06620546,0.5687184,-0.9990496,-0.031520326,-0.6225579,-0.9935868
199,0.6304,-0.03136389,0.14672548,-1.1398393,0.06784815,0.56877106,-1.0036851,-0.03136389,-0.62361425,-0.99730563
200,0.6299,-0.031208567,0.1461971,-1.142772,0.06949857,0.56883395,-1.0083196,-0.031208567,-0.62468106,-1.0010366
201,0.6294,-0.031054433,0.14567722,-1.1457143,0.07115655,0.56890696,-1.0129532,-0.031054433,-0.6257583,-1.0047797
